Function	ORF	Gene/Allele	Interactor (std)
Cell polarity & morphogenesis	YLR378C	sec61-2	SEC61
Cell polarity & morphogenesis	YJR065C	arp3-d11a	ARP3
Cell polarity & morphogenesis	YNR035C	arc35-6	ARC35
Cell polarity & morphogenesis	YFL039C	act1-132	ACT1
Cell polarity & morphogenesis	YLL021W	spa2	SPA2
Cell polarity & morphogenesis	YFL039C	act1-120	ACT1
Cell polarity & morphogenesis	YFL039C	act1-124	ACT1
Cell polarity & morphogenesis	YFL039C	act1-136	ACT1
Cell polarity & morphogenesis	YDR212W	tcp1-2	TCP1
Cell polarity & morphogenesis	YAL041W	cdc24-1	CDC24
Cell polarity & morphogenesis	YFL039C	act1-122	ACT1
Cell polarity & morphogenesis	YNL138W	srv2-2	SRV2
Cell polarity & morphogenesis	YLR319C	bud6	BUD6
Cell polarity & morphogenesis	YKL203C	tor2-21	TOR2
Cell polarity & morphogenesis	YFL039C	act1-101	ACT1
Cell polarity & morphogenesis	YMR109W	myo5	MYO5
Cell polarity & morphogenesis	YOR326W	myo2-14	MYO2
Cell polarity & morphogenesis	YOR122C	pfy1-4	PFY1
Cell polarity & morphogenesis	YIL034C	cap2	CAP2
Cell polarity & morphogenesis	YFL039C	act1-155	ACT1
Cell polarity & morphogenesis	YER093C	tsc11-1	TSC11
Cell polarity & morphogenesis	YKL007W	cap1	CAP1
Cell polarity & morphogenesis	YER149C	pea2	PEA2
Cell polarity & morphogenesis	YNL138W	srv2-ts	SRV2
Cell polarity & morphogenesis	YFL039C	act1-4	ACT1
Cell polarity & morphogenesis	YFL039C	act1-129	ACT1
Cell polarity & morphogenesis	YFL039C	act1-125	ACT1
Cell polarity & morphogenesis	YOL003C	pfa4	PFA4
Cell polarity & morphogenesis	YJR064W	cct5-5001	CCT5
Cell polarity & morphogenesis	YAL041W	cdc24-11	CDC24
Cell polarity & morphogenesis	YOR181W	las17-14	LAS17
Cell polarity & morphogenesis	YIL118W	rho3-ser228	RHO3
Cell polarity & morphogenesis	YER155C	bem2	BEM2
Cell polarity & morphogenesis	YFL039C	act1-3	ACT1
Cell polarity & morphogenesis	YIL118W	rho3-1	RHO3
Cell polarity & morphogenesis	YOR122C	pfy1-14	PFY1
Cell polarity & morphogenesis	YER093C	tsc11-5	TSC11
Cell polarity & morphogenesis	YDR188W	cct6-18	CCT6
Cell polarity & morphogenesis	YOR122C	pfy1-13	PFY1
Cell polarity & morphogenesis	YBL007C	sla1	SLA1
Cell polarity & morphogenesis	YDR208W	mss4-103	MSS4
Cell polarity & morphogenesis	YDL029W	arp2-14	ARP2
Cell polarity & morphogenesis	YDR212W	tcp1-1	TCP1
Cell polarity & morphogenesis	YFL039C	act1-159	ACT1
Cell polarity & morphogenesis	YFL039C	act1-119	ACT1
Cell polarity & morphogenesis	YCR009C	rvs161	RVS161
Cell polarity & morphogenesis	YIL062C	arc15-10	ARC15
Cell polarity & morphogenesis	YBR109C	cmd1-8	CMD1
Cell polarity & morphogenesis	YFL039C	act1-121	ACT1
Cell polarity & morphogenesis	YLR229C	cdc42-1	CDC42
Cell polarity & morphogenesis	YDR276C	pmp3	PMP3
Cell polarity & morphogenesis	YGL233W	sec15-1	SEC15
Cell polarity & morphogenesis	YLR166C	sec10-2	SEC10
Cell polarity & morphogenesis	YPR055W	sec8-6	SEC8
Cell polarity & morphogenesis	YPR055W	sec8-9	SEC8
Cell polarity & morphogenesis	YJL099W	chs6	CHS6
Cell polarity & morphogenesis	YHR142W	chs7	CHS7
Cell polarity & morphogenesis	YBL061C	skt5	SKT5
Cell polarity & morphogenesis	YBR023C	chs3	CHS3
Cell polarity & morphogenesis	YBL105C	pkc1-1	PKC1
Cell polarity & morphogenesis	YGR228W	ygr228w	YGR228W
Cell polarity & morphogenesis	YBL062W	ybl062w	YBL062W
Cell polarity & morphogenesis	YJL159W	hsp150	HSP150
Cell polarity & morphogenesis	YGR229C	smi1	SMI1
Cell polarity & morphogenesis	YMR124W	ymr124w	YMR124W
Cell polarity & morphogenesis	YFL005W	sec4-8	SEC4
Cell polarity & morphogenesis	YBR078W	ecm33	ECM33
Cell polarity & morphogenesis	YNL006W	lst8-6	LST8
Cell polarity & morphogenesis	YBR234C	arc40-5001	ARC40
Cell polarity & morphogenesis	YAL041W	cdc24-5	CDC24
Cell polarity & morphogenesis	YKL203C	tor2-29	TOR2
Cell polarity & morphogenesis	YDR388W	rvs167	RVS167
Cell polarity & morphogenesis	YOR181W	las17-13	LAS17
Cell polarity & morphogenesis	YDR348C	pal1	PAL1
Cell polarity & morphogenesis	YFL039C	act1-133	ACT1
Cell polarity & morphogenesis	YLL050C	cof1-8	COF1
Cell polarity & morphogenesis	YOR326W	myo2-16	MYO2
Cell polarity & morphogenesis	YNL271C	bni1	BNI1
Cell polarity & morphogenesis	YFL039C	act1-105	ACT1
Cell polarity & morphogenesis	YNR049C	mso1	MSO1
Cell polarity & morphogenesis	YIR003W	aim21	AIM21
Cell polarity & morphogenesis	YFL039C	act1-108	ACT1
Cell polarity & morphogenesis	YLR370C	arc18	ARC18
Cell polarity & morphogenesis	YPL066W	rgl1	YPL066W
Cell polarity & morphogenesis	YNR035C	arc35-5	ARC35
Cell polarity & morphogenesis	YER093C	tsc11-7	TSC11
Cell polarity & morphogenesis	YLR337C	vrp1	VRP1
Cell polarity & morphogenesis	YFL039C	act1-112	ACT1
Cell polarity & morphogenesis	YOR035C	she4	SHE4
Cell polarity & morphogenesis	YAL041W	cdc24-h	CDC24
Cell polarity & morphogenesis	YJL085W	exo70-38	EXO70
Cell polarity & morphogenesis	YNL272C	sec2-41	SEC2
Cell polarity & morphogenesis	YER008C	sec3-2	SEC3
Cell polarity & morphogenesis	YDR164C	sec1-1	SEC1
Cell polarity & morphogenesis	YIL068C	sec6-4	SEC6
Cell polarity & morphogenesis	YDR166C	sec5-24	SEC5
Cell polarity & morphogenesis	YJL085W	exo70-29/37	EXO70
Cell polarity & morphogenesis	YJR087W	yjr087w	YJR087W
Cell polarity & morphogenesis	YPL232W	sso1	SSO1
Cell polarity & morphogenesis	YOR327C	snc2	SNC2
Cell polarity & morphogenesis	YGR009C	sec9-4	SEC9
Cell polarity & morphogenesis	YNL181W	ynl181w-5001	YNL181W
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL120W	vps30	VPS30
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL053W	pep8	PEP8
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR360W	vps38	VPS38
Glycosylation, protein folding/targeting, cell wall biosynthesis	YHR012W	vps29	VPS29
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR068C	vam10	VAM10
Glycosylation, protein folding/targeting, cell wall biosynthesis	YER136W	gdi1-1	GDI1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR086C	sss1-5001	SSS1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR239C	rnt1-ts	RNT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOL018C	tlg2	TLG2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR370C	mrs6-2	MRS6
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL145C	cop1-1	COP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR029C	cds1-5001	CDS1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGR166W	trs65	TRS65
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL096C	opi6	OPI6
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR200W	rot1-5001	ROT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR459W	gab1-3	GAB1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR149C	smp3-2	SMP3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR389W	sac7	SAC7
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL027C	cwh41	CWH41
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJR075W	hoc1	HOC1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR437W	gpi19-5001	GPI19
Glycosylation, protein folding/targeting, cell wall biosynthesis	YHR188C	gpi16-5001	GPI16
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL022W	stt3-7	STT3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR331W	gpi8-ts	GPI8
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR414C	erd1	ERD1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBL082C	alg3	ALG3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR238W	dfg5	DFG5
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR437W	gpi19-2	GPI19
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL227C	alg5	ALG5
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR459W	gab1-1	GAB1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR254C	sec63-1	SEC63
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL095W	pmt1	PMT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL034W	kar2-159	KAR2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJR117W	ste24	STE24
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL142C	gpi10-5001	GPI10
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR260C	rgd1	RGD1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR459W	gab1-2	GAB1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBL040C	erd2-5001	ERD2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR067C	alg8	ALG8
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL076W	gpi2-1-7b	GPI2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR103C	ost2-5001	OST2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR434W	gpi17-5001	GPI17
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR002W	alg6	ALG6
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL065C	alg2-1	ALG2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR372C	vps74	VPS74
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR004C	gpi18-5001	GPI18
Glycosylation, protein folding/targeting, cell wall biosynthesis	YAL023C	pmt2	PMT2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR336W	kre5-ts2	KRE5
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR307W	gas1	GAS1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR088W	gaa1-ts	GAA1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBL083C	ybl083c	YBL083C
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR302W	gpi11-5001	GPI11
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR070C	alg14-5001	ALG14
Glycosylation, protein folding/targeting, cell wall biosynthesis	YNL038W	gpi15-5001	GPI15
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR229C	rot2	ROT2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL022W	stt3-2	STT3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL084C	gup1	GUP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL174W	kre9-5001	KRE9
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGR227W	die2	DIE2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YML019W	ost6	OST6
Glycosylation, protein folding/targeting, cell wall biosynthesis	YFL025C	bst1	BST1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL002C	ost1-6	OST1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL226C-A	ost5	OST5
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL062W	las21	LAS21
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR525W	api2	API2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR085W	ost3	OST3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL091C	gwt1-20	GWT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YCR017C	cwh43	CWH43
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL076W	gpi2-774	GPI2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL094C	sec62-ts	SEC62
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR015C	mnn2	MNN2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR331W	gpi8-5001	GPI8
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR214W	scj1	SCJ1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YAL058W	cne1	CNE1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR087C	csf1	CSF1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR111W	ylr111w	YLR111W
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR110C	ccw12	CCW12
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBL105C	pkc1-2	PKC1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBL105C	pkc1-4	PKC1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBL105C	pkc1-3	PKC1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL203C	ack1	ACK1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR332W	mid2	MID2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL095W	bck1	BCK1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGR196C	fyv8	FYV8
Glycosylation, protein folding/targeting, cell wall biosynthesis	YHR030C	slt2	SLT2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL089C	rlm1	RLM1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGR217W	cch1	CCH1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YKL190W	cnb1	CNB1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YIR006C	pan1-4	PAN1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR066W	spc3-4	SPC3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YML130C	ero1-1	ERO1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR052W	far3	FAR3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR264W	cue1	CUE1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YML097C	vps9	VPS9
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR456W	nhx1	NHX1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL095C	vps45	VPS45
Glycosylation, protein folding/targeting, cell wall biosynthesis	YAL002W	vps8	VPS8
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR069W	vps5	VPS5
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL193W	nus1-5001	NUS1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YIR022W	sec11-2	SEC11
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR373W	frq1-1	FRQ1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR245W	mnn10	MNN10
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR437W	gpi19-2xh	GPI19
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR218C	trs130-5003	TRS130
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR149C	smp3-1	SMP3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR149W	swp1-5004	SWP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL028W	erg10-1	ERG10
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL047W	alg13-5001	ALG13
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR100W	erg27-5001	ERG27
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL183W	mnn11	MNN11
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR242C	arv1	ARV1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YNR030W	alg12	ALG12
Glycosylation, protein folding/targeting, cell wall biosynthesis	YNL322C	kre1	KRE1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJR073C	opi3	OPI3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR162C	nbp2	NBP2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR292C	srp101-47	SRP101
Glycosylation, protein folding/targeting, cell wall biosynthesis	YEL036C	anp1	ANP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR013C	sec59-ts	SEC59
Glycosylation, protein folding/targeting, cell wall biosynthesis	YAL053W	flc2	FLC2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YAL058C-A	yal058c-a	YAL058C-A
Glycosylation, protein folding/targeting, cell wall biosynthesis	YEL031W	spf1	SPF1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR320C	swa2	SWA2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLL031C	gpi13-4	GPI13
Glycosylation, protein folding/targeting, cell wall biosynthesis	YFL032W	yfl032w	YFL032W
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR239C	rnt1-47	RNT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLL031C	gpi13-5	GPI13
Glycosylation, protein folding/targeting, cell wall biosynthesis	YER003C	pmi40-5001	PMI40
Glycosylation, protein folding/targeting, cell wall biosynthesis	YHR101C	big1-5001	BIG1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOL102C	tpt1-5001	TPT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL096C-A	eri1	ERI1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YNL158W	pga1-5001	PGA1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YER087C-A	yer087c-a	YER087C-A
Glycosylation, protein folding/targeting, cell wall biosynthesis	YEL042W	gda1	GDA1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR310C	sum1	SUM1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL139C	yur1	YUR1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YNL219C	alg9	ALG9
Glycosylation, protein folding/targeting, cell wall biosynthesis	YFL031W	hac1	HAC1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR109C	cmd1-3	CMD1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGR036C	cax4	CAX4
Glycosylation, protein folding/targeting, cell wall biosynthesis	YML115C	van1	VAN1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL012W	erg4	ERG4
Glycosylation, protein folding/targeting, cell wall biosynthesis	YEL002C	wbp1-1	WBP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJR143C	pmt4	PMT4
Glycosylation, protein folding/targeting, cell wall biosynthesis	YEL002C	wbp1-2	WBP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPR183W	dpm1-6	DPM1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YML012W	erv25	ERV25
Glycosylation, protein folding/targeting, cell wall biosynthesis	YER140W	emp65	EMP65
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR171W	sec66	SEC66
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL200C	emp24	EMP24
Glycosylation, protein folding/targeting, cell wall biosynthesis	YML055W	spc2	SPC2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YHR079C	ire1	IRE1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR292C	sec72	SEC72
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR200W	bem1	BEM1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR371W	rom2	ROM2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL006W	ptc1	PTC1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR126C	tps1	TPS1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YKL127W	pgm1	PGM1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR011C	ipp1-5001	IPP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR524C-B	ydr524c-b	YDR524C-B
